Original,Furigana,Level
体温,たいおん,N3
大会,たいかい,N3
大気,たいき,N3
代金,だいきん,N3
退屈,たいくつ,N3
大使,たいし,N3
大した,たいした,N3
対象,たいしょう,N3
大臣,だいじん,N3
対する,たいする,N3
大戦,たいせん,N3
態度,たいど,N3
態度,たいど,N3
大統領,だいとうりょう,N3
大半,たいはん,N3
代表,だいひょう,N3
大部分,だいぶぶん,N3
タイプライター,タイプライター,N3
逮捕,たいほ,N3
ダイヤ,ダイヤ,N3
太陽,たいよう,N3
平ら,たいら,N3
代理,だいり,N3
大陸,たいりく,N3
タオル,タオル,N3
だが,だが,N3
互い,たがい,N3
宝,たから,N3
宅,たく,N3
だけど,だけど,N3
確かめる,たしかめる,N3
多少,たしょう,N3
助ける,たすける,N3
只,ただ,N3
戦い,たたかい,N3
戦う,たたかう,N3
叩く,たたく,N3
直ちに,ただちに,N3
立ち上がる,たちあがる,N3
立場,たちば,N3
経つ,たつ,N3
達する,たっする,N3
たった,たった,N3
だって,だって,N3
たっぷり,たっぷり,N3
例え,たとえ,N3
谷,たに,N3
他人,たにん,N3
種,たね,N3
束,たば,N3
度,たび,N3
旅,たび,N3
度々,たびたび,N3
玉,たま,N3
偶々,たまたま,N3
堪らない,たまらない,N3
黙る,だまる,N3
駄目,だめ,N3
試し,ためし,N3
試す,ためす,N3
便り,たより,N3
頼る,たよる,N3
段,だん,N3
単位,たんい,N3
単語,たんご,N3
男子,だんし,N3
単純,たんじゅん,N3
誕生,たんじょう,N3
ダンス,ダンス,N3
団体,だんたい,N3
担当,たんとう,N3
単なる,たんなる,N3
単に,たんに,N3
地,ち,N3
チーズ,チーズ,N3
チーム,チーム,N3
地位,ちい,N3
地域,ちいき,N3
知恵,ちえ,N3
知恵,ちえ,N3
地下,ちか,N3
違い,ちがい,N3
違いない,ちがいない,N3
近頃,ちかごろ,N3
地球,ちきゅう,N3
地区,ちく,N3
遅刻,ちこく,N3
知事,ちじ,N3
知識,ちしき,N3
父親,ちちおや,N3
知能,ちのう,N3
地平線,ちへいせん,N3
地方,ちほう,N3
茶,ちゃ,N3
